ITEM Ref,Description,Cost Date,Unit Cost,Marked as complete
STO004,"STOOL, height adjustable, swivel, mobile",30/05/2022,150.00,Done
STO006,"STOOL, surgeon/anaesthetist, height adjustable, includes anti-static seat pads",30/05/2022,900.00,Done
STO008,"STOOL, kick, retractable castors",30/05/2022,65.00,Done
STO020,"STOOL, anatomic, backrest, armrests, height adjustable",15/12/2022,200.00,Done
SUC001,"SUCTION UNIT, pipeline, high/low pressure, rail/wall mounted",30/05/2022,250.00,Done
SUC002,"SUCTION UNIT, pipeline, high pressure, theatre",30/05/2022,950.00,Done
SUC005,"SUCTION UNIT, electric, mobile, 845H 470W 410D",30/05/2022,750.00,Done
SUC9000,"SUCTION UNIT, non ferrous, single jar, floor standing",15/12/2022,1450.00,Done
SWC031,"SWITCH dimmer, fixed position, wall mounted",15/12/2022,0.00,Done
SWC033,"SWITCH dimmer, 3 position, wall mounted",15/12/2022,0.00,Done
SWC034,"SWITCH, dimmer, modulating",15/12/2022,0.00,Done
SWC062,"EMERGENCY STOP switch button, wall mounted",15/12/2022,0.00,Done
SWC076,"SWITCH, 'Room in use' illuminated sign.",15/12/2022,0.00,Done
SWC9002,"SWITCH, EMERGENCY, quench button",15/12/2022,0.00,Done
SYR001,"SYRINGE INJECTOR, automatic, hi pressure injection, contrast media",30/05/2022,22000.00,Done
SYR002,"SYRINGE pump, battery operated, 366H 127W 80D",30/05/2022,1800.00,Done
SYR004,"SYRINGE pump, anaesthetic use, with diprifusor, 115H 400W 180D",30/05/2022,2600.00,Done
SYR005,"SYRINGE INJECTOR, MRI compatible, automatic, hi pressure injection, media contrast",30/05/2022,22000.00,Done
TAB007,"TABLE, 710H 900W 900D",30/05/2022,160.00,Done
TAB014,"TABLE, 710H 1800W 900D",30/05/2022,240.00,Done
TAB028,"TABLE, circular, 710H 900mm dia.",30/05/2022,310.00,Done
TAB053,"TABLE, occasional, square, 415H 610W 610D",30/05/2022,200.00,Done
TAB056,"TABLE, occasional, round, 415H 610mm dia.",30/05/2022,200.00,Done
TAB077,"TABLE, surgical procedures, radiotranslucent o/a 1005H 2100W 835D",30/05/2022,60000.00,Done
TOA003,"TOASTER, automatic, electric, 2 slices, model 60 slices per hour, 1.25kW loading",30/05/2022,200.00,Done
TOU9000,"TORNIQUET, automatic, digital, dual limb/channel 1050H 345W 385D",15/12/2022,3450.00,Done
TRA024,"TRACK, curtain, three sided, U-shape, 1000L 900W",30/05/2022,240.00,Done
TRA104,"TRACK, curtain, one sided, 2500mm length",30/05/2022,130.00,Done
TRA106,"TRACK, curtain, one sided, 4000mm length",30/05/2022,300.00,Done
TRA110,"TRACK, curtain, one sided, 3600mm length",30/05/2022,180.00,Done
TRA122,"TRACK, curtain, two sided, L-shape, curved, 2900L 2600W",30/05/2022,250.00,Done
TRA125,"TRACK, curtain, two sided, L-shape, 2700L 2300W",30/05/2022,230.00,Done
TRA130,"TRACK, curtain, two sided, L-shape, 2400L 1800W",30/05/2022,210.00,Done
TRA131,"TRACK, curtain, two sided, L-shape, 2700L 2400W",30/05/2022,245.00,Done
TRA145,"TRACK, curtain, door, three sided, U-shape, 1200L 1600W",30/05/2022,280.00,Done
TRA375,"TRACK, curtain, three sided, U-shape, 2700L 2300W",30/05/2022,420.00,Done
TRA9014,"TRACK, curtain for observation panel, 1800mm",15/12/2022,120.00,Done
TRF002,"AUTOTRANSFUSION cell separator, mobile, built in air and foam detector, 1620H 270W 585D",30/05/2022,21500.00,Done
TRO024,"TROLLEY cleaners, bucket, disposable mop head",30/05/2022,260.00,Done
TRO068,"TROLLEY, cleaners, mop bucket, 3 shelves tray and waste sack holder, 980H 1170W 550D",30/05/2022,320.00,Done
TRO131,"TROLLEY, dressing/instrument, stainless steel, buffered, 870H 450W 450D",30/05/2022,230.00,Done
TRO133,"TROLLEY, dressing/instrument, stainless steel, buffered, 870H 750W 450D",30/05/2022,260.00,Done
TRO135,"TROLLEY, dressing/equipment, 6 clear trays, buffered, 890H 510W 480D",30/05/2022,650.00,Done
TRO139,"TROLLEY, dressing/instrument, MRI compatible, 870H 450W 450D",30/05/2022,450.00,Done
TRO147,"TROLLEY ENT endoscope, 1205H 483W 650D",30/05/2022,8500.00,Done
TRO181,"TROLLEY, general purpose, 3 tier, buffered, 950H 890W 590D",30/05/2022,400.00,Done
TRO201,"TROLLEY, instruments, stainless steel, buffered, 870H 920W 620D",30/05/2022,390.00,Done
TRO204,"TROLLEY instrument tray MAYO, 650W 450D",30/05/2022,220.00,Done
TRO207,"TROLLEY SSD return, 2 door, nominal 970H 1140W 725D",30/05/2022,1400.00,Done
TRO208,"TROLLEY, double sided, drug/pharmaceutical distribution, with locked boxes -30 boxes, 1000H 1450W 490D",15/12/2022,1250.00,Done
TRO235,"TROLLEY, contaminated linen, single ring, stainless steel",30/05/2022,190.00,Done
TRO267,"TROLLEY, phlebotomist's, 985H 495W 460D",30/05/2022,1100.00,Done
TRO281,"TROLLEY PATIENT, with brakes, 800H 2050W 550D",30/05/2022,3200.00,Done
TRO282,"TROLLEY PATIENT, accident, image top, with tilt and brakes, 540-1000H 740W 2110D",30/05/2022,4500.00,Done
TRO301,"TROLLEY, plaster",30/05/2022,1500.00,Done
TRO310,"TROLLEY, emergency/resuscitation, complete with defibrillator, 955H 825W 575D",30/05/2022,3500.00,Done
TRO9006,"TROLLEY, Suture. 1814x1200x450mm",15/12/2022,750.00,Done
TRO9007,"TROLLEY, catheter, hanging",30/05/2022,1400.00,Done
TRO9008,"TROLLEY, storage, 6 clear trays, with doors, approx 790H 513W 482D",30/05/2022,380.00,Done
TRO9013,"TROLLEY, supplies, 6 clear trays, MRI compatible",30/05/2022,750.00,Done
TRO9027,"TROLLEY, laparoscopic system approx. 1580H 835W 750D",30/05/2022,170000.00,Done
TRO9031,"CART, operating table accessories, approx 1550H 900W 805D",15/12/2022,1700.00,Done
TRO9032,"TROLLEY, difficult airway, approx 1110H 790W 610D",15/12/2022,2000.00,Done
TRO9033,"TROLLEY, Intubation",15/12/2022,1250.00,Done
TRO9034,"TROLLEY PATIENT, powered drive",15/12/2022,8500.00,Done
TRO9046,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, small 870H 470W 470D",15/12/2022,400.00,Done
tro9047,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, medium 870H 620W 470D",15/12/2022,500.00,Done
TRO9048,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, large 870H 770W 470D",15/12/2022,550.00,Done
TRO9049,"TROLLEY, surgical instruments, fixed shelves, sides down, stainless steel, X-large 870H 920W 470D",15/12/2022,600.00,Done
TRO9050,"TROLLEY, double procedure, 9 drawer, lockable, 1010H 1125W 545D",15/12/2022,2000.00,Done
TRO9310,"TROLLEY, emergency/resuscitation, complete with defibrillator, paediatric, 955H 825W 575D",30/05/2022,3500.00,Done
ULT015,"ULTRASOUND SCANNER, general purpose, mobile",30/05/2022,75000.00,Done
ULT9004,"ULTRASOUND, intravascular",15/12/2022,85000.00,Done
ULT9006,"ULTRASOUND, CVA guidance unit",30/05/2022,17000.00,Done
UPS9001,"UPS, for image data capture, under counter, 300mm H x 200mm W x 600mm D",30/05/2022,5000.00,Done
VAP9000,Anaesthetic Vaporiser,15/12/2022,2200.00,Done
VEN025,"VENTILATOR, portable, adjustable minute volume, 460H 470W 310D",30/05/2022,18000.00,Done
VEN9000,"VENT DUCT, helium quench, to size required by length of run",15/12/2022,0.00,Done
WAR009,"WARDROBE, 2100H 300W 700D",15/12/2022,650.00,Done
WAR053,"WARMER, blood/fluid, maintains temperature between 36 and 43 deg.C at flow rates up to 500 ml/min, 35H 235W 273D",30/05/2022,3000.00,Done
WAR058,"WARMING UNIT patient, forced air warming therapy, mobile, 330H 250W 280D",30/05/2022,3500.00,Done
WAR9001,"WARDROBE, built in, with desk, storage to architects design",15/12/2022,500.00,Done
WKT140,"WORKTOP, cantilevered from wall, 600W 650D",30/05/2022,160.00,Done
WKT144,"WORKTOP, cantilevered from wall, 1200W 650D",30/05/2022,320.00,Done
WKT146,"WORKTOP, cantilevered from wall, 1500W 650D",30/05/2022,405.00,Done
WKT148,"WORKTOP, cantilevered from wall, 1800W 650D",30/05/2022,490.00,Done
WKT152,"WORKTOP, cantilevered from wall, 2400W 650D",30/05/2022,650.00,Done
WKT9009,"WORKTOP, cantilevered from wall, diameter pedestal base table, with chrome 5 Star Base and support legs 1200Dia x 755H",15/12/2022,500.00,Done
WOR074,"WORKTOP, 2400W 900D",30/05/2022,1680.00,Done
WOR115,"WORKTOP, 1200W 600D",30/05/2022,280.00,Done
WOR122,"WORKTOP, 1800W 600D",30/05/2022,415.00,Done
WOR129,"WORKTOP, 2400W 600D",30/05/2022,550.00,Done
WOR135,"WORKTOP, 3000W 600D",30/05/2022,690.00,Done
WOR191,"WORKTOP, stainless steel, freestanding, 1200W 750D",15/12/2022,750.00,Done
WOR761,"WORKTOP, 2000W 700D",30/05/2022,640.00,Done
WOR9008,"WORKTOP, 2100W 600D",30/05/2022,480.00,Done
WOR9036,"WORKTOP, 2000W 700D",30/05/2022,640.00,Done
WOR9039,"WORKTOP, 1800W 800D",30/05/2022,760.00,Done
WOR9042,"WORKTOP, 1200W 600D",30/05/2022,1050.00,Done
XRA010,"X-RAY CS, ceiling suspensions, with telescopic tube of column and rotating/tilting arm",30/05/2022,250000.00,Done
XRA011,"X-RAY CS CONTROL DESK UNIT, freestanding, (Part of XRA023)",30/05/2022,0.00,Done
XRA012,"X-RAY CS STAND for control unit, (Part of XRA023)",30/05/2022,0.00,Done
XRA013,"X-RAY CS GENERATOR CABINET, (Part of XRA010)",30/05/2022,0.00,Done
XRA015,"X-RAY CS RAIL, ceiling suspensions, 6280mm, (Part of XRA010)",30/05/2022,0.00,Done
XRA023,"X-RAY CONTROL CABINET for generator, freestanding, 950H 850W 535D",10/03/2023,0.00,Done
XRA036,"X-RAY SCULL, ceiling mounted",30/05/2022,42000.00,Done
XRA037,"X-RAY GENERATOR CABINET, (Part of XRA036)",30/05/2022,0.00,Done
XRA041,X-RAY TABLE - digital,30/05/2022,0.00,Done
XRA043,"X-RAY UNIT (tube), with ceiling suspensions track - digital",30/05/2022,250000.00,Done
XRA045,X-RAY CHEST stand - digital,30/05/2022,0.00,Done
XRA048,X-RAY CONTROL CONSOLE - digital,30/05/2022,0.00,Done
